"Story","Title","Result","Date","Stability","Duration (s)"
"UI tests","Clicking Home page on disappearing elements link","SUCCESS","2020-02-12T02:56:10.874+11:00","0.0","8.29"
"REST API tests","Get all the employee details for ABN AMRO TestApp","SUCCESS","2020-02-12T02:55:49.169+11:00","0.0","6.36"
"UI tests","Login with valid credentials","SUCCESS","2020-02-12T02:56:00.925+11:00","0.0","9.55"
"UI tests","Selecting drop downs on herokuapp","SUCCESS","2020-02-12T02:56:19.643+11:00","0.0","9.59"
"REST API tests","Verify Post Failure on a non-existing record","SUCCESS","2020-02-12T02:55:59.688+11:00","0.0","1.1"
"REST API tests","Verify Single Employee Details","FAILURE","2020-02-12T02:55:58.451+11:00","0.0","1.04"
"UI tests","Writing in the iFrame","SUCCESS","2020-02-12T02:56:29.626+11:00","0.0","13.2"
